OrganisationURI,OrganisationLabel,SiteReference,PreviouslyPartOf,SiteNameAddress,SiteplanURL,CoordinateReferenceSystem,GeoX,GeoY,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,ProposedForPIP,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,Part2,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,SiteInformation,Notes,FirstAddedDate,LastUpdatedDate
http://opendatacommunities.org/id/district-council/lancaster,Lancaster City Council,60,,"Former Co-Op Building, John Street",http://www.lancaster.gov.uk/planning/planning-policy/brownfield-register,OSGB36,349806,470499,0.04,not owned by a public authority,yes,permissioned,full planning permission,19/10/2017,https://planning.lancaster.gov.uk/online-applications/,,6,Change of use of part of the building into six x2 to bedflats B1 unit,Approx.26m2 Class B1,,,,,,,21/03/2017,21/03/2017
http://opendatacommunities.org/id/district-council/lancaster,Lancaster City Council,61,,"Lundsfield Quarry, Kellet Road",http://www.lancaster.gov.uk/planning/planning-policy/brownfield-register,OSGB36,349838,469992,13.44,owned by a public authority,yes,not permissioned,,,https://planning.lancaster.gov.uk/online-applications/,,200,,,,200,250,,,"The site has a draft allocation in the Strategic Policies and Land Allocations DPD, Publication Version (policies SG11, SG13 & H1).",21/03/2017,21/03/2017
http://opendatacommunities.org/id/district-council/lancaster,Lancaster City Council,83,,Windermere Road Garages,http://www.lancaster.gov.uk/planning/planning-policy/brownfield-register,OSGB36,349982,469696,0.19,owned by a public authority,yes,not permissioned,,,,,4,,,,4,6,,,,15/02/2018,15/02/2018
http://opendatacommunities.org/id/district-council/lancaster,Lancaster City Council,179,,"Former Police Station, Heysham Road",http://www.lancaster.gov.uk/planning/planning-policy/brownfield-register,OSGB36,341650,461700,0.06,not owned by a public authority,yes,permissioned,full planning permission,11/04/2012,https://planning.lancaster.gov.uk/online-applications/,,14,"14/00291/VCN - Erection of 14 no apartments. construction of 3000sq ft retail unit with a further 1000sq ft storage area, parking for 10 vehicles and traffic calming to Knowlys Road (variation of conditions on planning permission 11/01089/FUL)",372sqm Class A1 and associated storage,,,,,,Planning permission was previously granted for 14 apartments and a retail unit on the site - see 11/01089/FUL & 14/00291/VCN.,15/02/2018,15/02/2018
http://opendatacommunities.org/id/district-council/lancaster,Lancaster City Council,202,,"Garage, Grosvenor Road",http://www.lancaster.gov.uk/planning/planning-policy/brownfield-register,OSGB36,341809,462991,0.06,not owned by a public authority,yes,permissioned,outline planning permission,18/05/2017,https://planning.lancaster.gov.uk/online-applications/,,9,17/00162/OUT - Erection of 9 flats & parking,,,,,,,The planning permission expires on 7 August 2019 and includes conditions requiring the submission of an application and approval of details before development commences.,15/02/2018,15/02/2018
http://opendatacommunities.org/id/district-council/lancaster,Lancaster City Council,203,,"Sunacre Court, Maple Avenue",http://www.lancaster.gov.uk/planning/planning-policy/brownfield-register,OSGB36,342403,463001,0.14,not owned by a public authority,yes,permissioned,full planning permission,08/08/2016,https://planning.lancaster.gov.uk/online-applications/,,6,16/00861/FUL – Erection of a 2-storey block of four flats and a pair of 2-storey semi- detached dwellings with associated access and parking,,,,,,,,15/02/2018,15/02/2018
http://opendatacommunities.org/id/district-council/lancaster,Lancaster City Council,252,,Garages Adjacent 32 Tan Hill Drive Lancaster Lancashire LA1 2JB,http://www.lancaster.gov.uk/planning/planning-policy/brownfield-register,OSGB36,347775,463337,0.04,unknown ownership,yes,not permissioned,,,,,1,,,,1,1,,,,15/02/2018,15/02/2018
http://opendatacommunities.org/id/district-council/lancaster,Lancaster City Council,260,,"New Quay, New Quay Road",http://www.lancaster.gov.uk/planning/planning-policy/brownfield-register,OSGB36,346211,462041,0.37,not owned by a public authority,yes,permissioned,outline planning permission,22/12/2016,https://planning.lancaster.gov.uk/online-applications/,,12,16/00581/OUT - Outline application for the erection of up to 12 dwellings including associated cycle/pedestrian access,,,,,,,,15/02/2018,15/02/2018
http://opendatacommunities.org/id/district-council/lancaster,Lancaster City Council,268,,Land At Corner Of Bulk Road And St Leonards Gate,http://www.lancaster.gov.uk/planning/planning-policy/brownfield-register,OSGB36,348055,462054,0.15,not owned by a public authority,yes,not permissioned,,,https://planning.lancaster.gov.uk/online-applications/,,4,,,,4,4,,,,15/02/2018,15/02/2018
http://opendatacommunities.org/id/district-council/lancaster,Lancaster City Council,289,,"Private Car Park, Dolphinlee Bridge",http://www.lancaster.gov.uk/planning/planning-policy/brownfield-register,OSGB36,348642,463247,0.71,not owned by a public authority,yes,not permissioned,,,https://planning.lancaster.gov.uk/online-applications/,,10,,,,10,15,,,,15/02/2018,15/02/2018
